149,18,196
218,53,197
303,92,201
330,136,190
325,168,181
318,191,174
321,208,157
335,223,130
332,239,93
313,251,52
291,250,8
264,244,-39
232,239,-83
164,229,-141
87,213,-208
42,235,-287
87,317,-383
188,403,-499
306,444,-605
421,453,-685
505,441,-728
522,406,-727
456,388,-680
329,368,-579
170,327,-438
-5,296,-274
-222,232,-109
-471,114,26
-640,24,124
-714,-60,157
-691,-151,163
-628,-237,204
-580,-319,239
-574,-396,268
-602,-421,290
-582,-319,278
-568,-157,245
-544,-4,219
-531,129,201
-529,231,183
-540,304,150
-565,335,95
-618,326,23
-678,316,-70
-754,314,-179
-840,309,-324
-891,283,-448
-908,253,-497
-898,234,-474
-873,219,-426
-829,201,-385
-778,189,-368
-686,204,-356
-533,231,-329
-438,243,-318
-423,260,-333
-396,292,-353
-355,315,-336
-351,350,-317
-300,420,-295
-188,509,-237
-27,631,-148
262,789,-27
630,940,146
937,1020,337
1120,1003,469
1131,920,466
1104,878,409
1250,925,447
1466,878,622
1696,785,809
1868,751,864
1488,715,679
819,812,491
286,922,411
-4,897,375
-52,806,368
-64,698,336
-102,620,288
21,619,299
223,548,312
325,375,177
351,261,25
328,226,-30
325,240,9
315,282,127
352,329,214
403,371,248
499,425,275
547,427,281
541,395,268
514,360,248
470,323,225
435,301,195
384,303,168
328,296,149
279,272,133
206,246,96
135,235,55
118,230,18
134,213,-1
158,178,-14
139,149,-26
101,127,-45
69,98,-62
19,56,-70
-50,7,-77
-115,-46,-83
-161,-84,-98
-165,-120,-117
-116,-146,-146
-36,-147,-168
8,-101,-156
37,-39,-145
-2,17,-136
-104,35,-146
-251,6,-180
-443,-59,-240
-626,-149,-328
-758,-247,-425
-824,-316,-518
-816,-356,-606
-718,-388,-686
-547,-424,-766
-364,-450,-837
-214,-475,-879
-109,-505,-877
21,-544,-823
202,-597,-745
377,-677,-695
524,-768,-667
703,-859,-653
1026,-988,-720
1473,-1179,-920
1637,-1247,-1014
1677,-1186,-920
1742,-1067,-731
1873,-877,-475
1940,-643,-154
1967,-454,153
2047,-335,377
2206,-227,461
2353,-143,462
2372,-119,455
2299,-150,476
2202,-230,495
2069,-351,482
1835,-469,451
1443,-550,395
921,-565,307
315,-514,154
-317,-433,-47
-869,-360,-186
-1190,-295,-197
-1340,-271,-156
-1399,-296,-63
-1346,-310,56
-1222,-319,117
-1031,-324,120
-827,-293,132
-618,-217,146
-382,-135,199
-212,-65,268
-115,1,298
58,34,359
296,45,436
480,29,470
569,12,487
607,4,511
501,-14,499
323,-27,452
175,-43,412
91,-18,403
0,-7,392
-76,-7,372
-160,9,351
-230,36,330
-310,73,302
-382,75,280
-399,32,276
-427,0,260
-463,-14,256
-523,-27,235
-671,-71,204
-829,-111,201
-871,-114,205
-852,-91,174
-702,-41,156
-444,25,156
-310,54,132
-190,79,130
-124,102,123
-112,125,99
-117,151,73
-112,174,36
-91,181,-15
-48,196,-57
-4,207,-97
55,217,-130
133,236,-167
229,270,-203
304,309,-233
322,347,-267
301,383,-308
246,401,-370
181,404,-456
58,350,-556
-100,242,-663
-280,105,-776
-476,-18,-878
-627,-117,-965
-685,-146,-1042
-684,-99,-1113
-717,-74,-1116
-761,-72,-1053
-786,-53,-916
-816,-64,-701
-799,-90,-454
-664,-91,-269
-495,-46,-204
-361,-9,-249
-206,-67,-294
-37,-212,-222
147,-295,-72
131,-274,18
-108,-222,31
-390,-116,24
-583,13,7
-653,94,-12
-701,136,-16
-765,168,-26
-841,214,-55
-972,261,-107
-1188,304,-179
-1436,317,-262
-1639,286,-342
-1760,216,-379
-1819,148,-400
-1696,104,-369
-1521,98,-344
-1334,139,-329
-1104,198,-320
-822,275,-327
-433,397,-309
125,540,-221
927,691,3
1763,775,287
2314,730,474
2577,659,565
2701,583,612
2816,435,709
2855,246,928
2795,200,872
2465,288,407
1607,391,-79
776,526,-334
314,628,-380
266,694,-292
464,748,-111
983,815,206
1326,778,380
1399,701,425
1361,631,449
1420,512,562
1568,348,690
1747,201,779
1874,90,782
1955,76,696
2066,136,494
2076,189,291
1593,255,287
1031,322,188
679,291,-5
484,175,-144
348,19,-141
309,-82,-56
267,-116,22
176,-114,47
149,-116,-7
37,-101,-8
1,-63,17
-28,-6,59
-77,71,125
-139,174,195
-127,253,229
-123,293,217
-148,324,201
-172,345,201
-206,371,225
-245,393,242
-289,419,258
-312,429,256
-325,427,240
-361,438,226
-377,452,206
-359,458,178
-358,435,138
-340,377,78
-324,303,25
-291,241,-28
-230,188,-89
-165,152,-153
-77,159,-195
44,177,-220
182,197,-238
284,218,-253
336,233,-265
332,218,-288
259,161,-316
187,80,-342
114,-23,-366
7,-134,-413
-124,-232,-490
-283,-305,-564
-395,-363,-644
-449,-406,-690
-424,-461,-712
-356,-523,-712
-266,-579,-685
-162,-618,-655
-58,-649,-630
13,-685,-573
65,-765,-471
102,-862,-395
190,-963,-435
354,-1068,-594
540,-1108,-755
660,-1028,-768
960,-928,-723
1257,-813,-654
1368,-636,-486
1528,-465,-282
1821,-395,-136
2096,-382,-32
2343,-376,104
2573,-352,269
2744,-294,419
2900,-222,514
2936,-147,571
2685,-89,602
2235,-102,614
1815,-170,642
1362,-232,649
886,-304,635
475,-392,618
80,-439,591
-130,-445,637
-43,-461,764
325,-508,934
540,-533,963
281,-524,810
-87,-485,615
-432,-407,492
-753,-329,416
-1103,-307,400
-1183,-273,464
-1204,-261,481
-1148,-219,508
-924,-135,591
-626,66,688
-206,301,840
94,409,920
207,421,944
211,460,937
338,475,991
554,455,1037
639,400,1024
556,337,966
